Postcode,Population
6560,1352
6562,1257
6564,310
6566,3275
6567,417
6568,226
6569,272
6571,75
6572,57
6574,84
6575,141
6603,1111
6605,40
6606,168
6608,135
6609,822
6612,224
6613,62
6614,23
6616,56
6620,498
6623,674
6625,49
6627,69
6628,34
6630,622
6631,30
6632,69
6635,344
6638,482
6639,89
6640,196
6642,1067
6646,742
6701,5544
6705,278
6707,2713
6710,4002
6713,1104
6714,16829
6716,751
6718,1010
6720,2528
6721,4512
6722,9848
6725,10795
6726,5436
6728,5946
6740,1289
6743,6232
6751,4927
6753,7238
6754,1380
6758,1701
6760,634
6762,875
6765,1757
6770,2904
6798,1843
6799,544
7000,13837
7004,7481
7005,13305
7007,3066
7008,11981
7009,12453
7010,16842
7011,14696
7012,838
7015,10332
7016,2872
7017,5614
7018,21027
7019,6107
7020,2472
7021,2411
7022,880
7023,329
7024,526
7025,1697
7026,934
7027,294
7030,17404
7050,12405
7052,7145
7053,3574
7054,8745
7055,428
7109,8808
7112,3066
7113,1094
7116,2253
7117,854
7119,41
7120,1826
7140,10974
7150,2837
7155,803
7162,594
7163,330
7170,5008
7171,3283
7172,3650
7173,6595
7174,183
7175,199
7176,164
7177,406
7178,309
7179,385
7180,156
7182,264
7183,45
7184,798
7185,99
7186,171
7187,134
7190,3110
7209,401
7210,1040
7211,239
7212,1931
7213,298
7214,611
7215,3381
7216,3356
7248,15776
7249,12774
7250,48050
7252,2783
7253,4925
7254,487
7255,833
7256,1585
7257,66
7258,962
7259,459
7260,3218
7261,266
7262,1707
7263,594
7264,643
7265,228
7267,768
7268,1036
7270,4087
7275,3138
7276,567
7277,5713
7290,2275
7291,559
7292,606
7300,3423
7301,4304
7302,1668
7303,2712
7304,5939
7305,1170
7306,3956
7307,10125
7310,27101
7315,14658
7316,5889
7320,16238
7321,4672
7322,3903
7325,8586
7330,6592
7331,553
7466,17
7467,1790
7468,708
7469,768
7470,708
,
© Commonwealth of Australia 2018,
